Date,Open,Close,OC2,OPC2
05/24/2018,1.16954,1.17192,-8.32E-03,-0.7063755
05/25/2018,1.17192,1.16478,-0.00474,-0.4052944
05/28/2018,1.16862,1.16242,-9.50E-03,-0.8106277
05/29/2018,1.16241,1.15395,-1.08E-02,-0.9297931
05/30/2018,1.15389,1.16635,-8.47E-03,-0.7286573
05/31/2018,1.16623,1.16918,1.52E-02,1.31982
06/01/2018,1.16917,1.16584,2.83E-03,0.2426397
06/04/2018,1.16561,1.16982,-3.34E-03,-0.2856708
06/05/2018,1.16984,1.17173,5.89E-03,0.5052161
06/06/2018,1.17173,1.17735,7.53E-03,0.6436968
06/07/2018,1.17734,1.17988,8.15E-03,0.6955511
06/08/2018,1.1798,1.17666,2.53E-03,0.2148876
06/11/2018,1.17736,1.17833,-3.22E-03,-0.272916
06/12/2018,1.17833,1.17446,-2.20E-03,-0.1869604
06/13/2018,1.17448,1.17911,-3.87E-03,-0.3284217
06/14/2018,1.1791,1.15679,-1.77E-02,-1.504524
06/15/2018,1.15679,1.16059,-2.23E-02,-1.892956
06/18/2018,1.15874,1.16221,5.42E-03,0.4685353
06/19/2018,1.16224,1.15883,1.62E-03,0.1395786
06/20/2018,1.15886,1.15708,-5.13E-03,-0.4413947
06/21/2018,1.15701,1.16032,-1.75E-03,-0.1510137
06/22/2018,1.16023,1.16561,8.53E-03,0.737192
06/25/2018,1.16622,1.17034,0.0100199,0.8635461
06/26/2018,1.17033,1.16466,4.73E-03,0.4057949
06/27/2018,1.16459,1.15531,-1.50E-02,-1.284234
06/28/2018,1.15534,1.15684,-9.35E-03,-0.8028045
06/29/2018,1.15681,1.16847,1.32E-02,1.139087
07/02/2018,1.16747,1.16391,1.16E-02,1.00533
07/03/2018,1.1639,1.16568,-4.56E-03,-0.3902534
07/04/2018,1.16569,1.16556,1.77E-03,0.1520753
07/05/2018,1.16554,1.16903,0.0033499,0.2873773
07/06/2018,1.16901,1.17444,8.88E-03,0.7618672
07/09/2018,1.17392,1.17503,6.00E-03,0.5132496
07/10/2018,1.17502,1.17441,5.90E-04,5.02E-02
07/11/2018,1.1744,1.16726,-7.77E-03,-0.6612548
07/12/2018,1.16728,1.16707,-7.34E-03,-0.6249908
07/13/2018,1.16705,1.16843,-1.90E-04,-1.63E-02
07/16/2018,1.16896,1.17109,4.02E-03,0.3444503
07/17/2018,1.17108,1.16607,2.66E-03,0.227659
07/18/2018,1.16608,1.16381,-7.28E-03,-0.6216424
07/19/2018,1.16381,1.16412,-2.26E-03,-0.1938108
07/20/2018,1.16407,1.17196,8.15E-03,0.7002845
07/23/2018,1.17252,1.16915,7.84E-03,0.6734733
07/24/2018,1.16914,1.16857,-3.39E-03,-0.2892551
07/25/2018,1.16861,1.17281,-5.80E-04,-4.96E-02
07/26/2018,1.17282,1.16424,-4.33E-03,-0.3705417
07/27/2018,1.16425,1.16559,-8.57E-03,-0.7307199
